,spread,price_std,transactions_mean,transactions_sum,volume_mean,volume_sum,tick_size,params_id,seed
76,0.003793,0.008993,98.150198,24832,188.181818,47610,0.05,687,15
77,0.003752,0.010356,100.320158,25381,188.173913,47608,0.1,848,15
78,0.004666,0.00658,99.41502,25152,184.774704,46748,0.2,512,15
79,0.006941,0.007908,98.339921,24880,200.29249,50674,0.5,892,15
80,0.003506,0.007065,101.509881,25682,186.051383,47071,0.01,682,16
81,0.003544,0.006244,100.296443,25375,186.371542,47152,0.05,687,16
82,0.003813,0.006931,98.474308,24914,180.462451,45657,0.1,848,16
83,0.0045,0.005617,99.071146,25065,188.505929,47692,0.2,512,16
84,0.009258,0.011825,103.616601,26215,189.324111,47899,0.5,892,16
85,0.003222,0.009885,101.529644,25687,182.826087,46255,0.01,682,17
86,0.003746,0.009065,97.332016,24625,177.098814,44806,0.05,687,17
87,0.003565,0.007045,100.320158,25381,185.193676,46854,0.1,848,17
88,0.00433,0.00817,99.209486,25100,186.798419,47260,0.2,512,17
89,0.00775,0.012263,99.719368,25229,187.754941,47502,0.5,892,17
90,0.0038,0.008431,99.304348,25124,177.521739,44913,0.01,682,18
91,0.003505,0.007696,98.498024,24920,179.201581,45338,0.05,687,18
92,0.003911,0.006637,95.177866,24080,157.869565,39941,0.1,848,18
93,0.00477,0.006492,99.090909,25070,183.134387,46333,0.2,512,18
94,0.006901,0.007008,97.928854,24776,195.26087,49401,0.5,892,18
95,0.003568,0.006128,100.976285,25547,183.98419,46548,0.01,682,19
96,0.003564,0.014606,97.197628,24591,167.960474,42494,0.05,687,19
97,0.003884,0.009644,98.371542,24888,176.177866,44573,0.1,848,19
98,0.004457,0.011914,97.928854,24776,187.806324,47515,0.2,512,19
99,0.006602,0.007291,98.885375,25018,197.106719,49868,0.5,892,19
100,0.003172,0.006557,101.418972,25659,185.640316,46967,0.01,682,20
101,0.003294,0.006588,102.948617,26046,190.73913,48257,0.05,687,20
102,0.00394,0.007244,99.332016,25131,188.636364,47725,0.1,848,20
103,0.004552,0.006793,100.596838,25451,196.379447,49684,0.2,512,20
104,0.006883,0.010296,96.679842,24460,174.339921,44108,0.5,892,20
105,0.003939,0.006708,99.063241,25063,177.833992,44992,0.01,682,21
106,0.00346,0.006793,97.992095,24792,171.916996,43495,0.05,687,21
107,0.003727,0.006826,97.521739,24673,178.162055,45075,0.1,848,21
108,0.004404,0.010032,101.086957,25575,192.703557,48754,0.2,512,21
109,0.006933,0.009574,98.335968,24879,193.474308,48949,0.5,892,21
110,0.003733,0.016576,103.612648,26214,197.197628,49891,0.01,682,22
111,0.003523,0.00767,101.770751,25748,196.213439,49642,0.05,687,22
112,0.003788,0.009654,100.13834,25335,194.505929,49210,0.1,848,22
113,0.005007,0.008142,101.679842,25725,199.671937,50517,0.2,512,22
114,0.010168,0.013217,103.462451,26176,190.486166,48193,0.5,892,22
115,0.003241,0.007601,97.798419,24743,172.454545,43631,0.01,682,23
116,0.003394,0.007987,98.916996,25026,180.486166,45663,0.05,687,23
117,0.003752,0.007448,101.023715,25559,193.023715,48835,0.1,848,23
118,0.004726,0.010201,101.094862,25577,190.296443,48145,0.2,512,23
119,0.007125,0.012304,101.110672,25581,207.118577,52401,0.5,892,23
120,0.003237,0.008783,97.166008,24583,175.0,44275,0.01,682,24
121,0.003959,0.006634,99.600791,25199,191.41502,48428,0.05,687,24
122,0.003663,0.010497,98.450593,24908,181.84585,46007,0.1,848,24
123,0.004333,0.007385,99.988142,25297,185.857708,47022,0.2,512,24
124,0.007617,0.011849,99.011858,25050,186.225296,47115,0.5,892,24
125,0.003097,0.007252,102.328063,25889,195.268775,49403,0.01,682,25
126,0.003669,0.008333,102.679842,25978,200.731225,50785,0.05,687,25
127,0.004196,0.008923,101.011858,25556,199.41502,50452,0.1,848,25
128,0.004766,0.011274,102.332016,25890,198.747036,50283,0.2,512,25
129,0.00859,0.009275,98.466403,24912,184.003953,46553,0.5,892,25
130,0.003207,0.011965,97.83004,24751,172.367589,43609,0.01,682,26
131,0.004041,0.008146,100.916996,25532,183.233202,46358,0.05,687,26
132,0.00379,0.011401,98.249012,24857,186.051383,47071,0.1,848,26
133,0.004469,0.007037,99.928854,25282,189.466403,47935,0.2,512,26
134,0.007603,0.009074,101.134387,25587,196.640316,49750,0.5,892,26
135,0.003105,0.007114,101.636364,25714,191.660079,48490,0.01,682,27
136,0.003715,0.008584,98.55336,24934,181.098814,45818,0.05,687,27
137,0.00415,0.014313,98.727273,24978,174.86166,44240,0.1,848,27
138,0.006598,0.010606,105.762846,26758,192.466403,48694,0.2,512,27
139,0.006898,0.011453,96.786561,24487,191.371542,48417,0.5,892,27
140,0.003101,0.007363,101.86166,25771,183.29249,46373,0.01,682,28
141,0.003164,0.007689,101.640316,25715,187.201581,47362,0.05,687,28
142,0.003789,0.009878,99.031621,25055,180.960474,45783,0.1,848,28
143,0.004501,0.008951,100.86166,25518,202.612648,51261,0.2,512,28
144,0.007249,0.007695,99.612648,25202,193.928854,49064,0.5,892,28
145,0.003398,0.010018,100.209486,25353,187.909091,47541,0.01,682,29
146,0.003361,0.008417,102.280632,25877,196.162055,49629,0.05,687,29
147,0.004161,0.013061,95.624506,24193,163.853755,41455,0.1,848,29
148,0.004496,0.008191,102.193676,25855,194.604743,49235,0.2,512,29
149,0.008685,0.011228,100.466403,25418,184.189723,46600,0.5,892,29
150,0.003032,0.012341,101.094862,25577,186.387352,47156,0.01,682,30
151,0.003728,0.014728,98.047431,24806,177.268775,44849,0.05,687,30
152,0.003702,0.008745,97.363636,24633,179.328063,45370,0.1,848,30
153,0.004435,0.009369,96.288538,24361,177.905138,45010,0.2,512,30
154,0.009435,0.011684,98.083004,24815,178.13834,45069,0.5,892,30
155,0.003122,0.009523,104.675889,26483,196.055336,49602,0.01,682,31
156,0.003963,0.007381,99.44664,25160,186.16996,47101,0.05,687,31
157,0.003678,0.012654,98.897233,25021,180.44664,45653,0.1,848,31
158,0.004569,0.011075,102.782609,26004,194.608696,49236,0.2,512,31
159,0.007902,0.008202,100.383399,25397,194.719368,49264,0.5,892,31
160,0.003067,0.006494,98.774704,24990,180.003953,45541,0.01,682,32
161,0.003039,0.007567,98.956522,25036,191.818182,48530,0.05,687,32
162,0.003751,0.010332,99.039526,25057,184.731225,46737,0.1,848,32
163,0.004749,0.013011,102.438735,25917,205.332016,51949,0.2,512,32
164,0.00711,0.00778,100.964427,25544,201.592885,51003,0.5,892,32
165,0.003311,0.008198,98.857708,25011,175.794466,44476,0.01,682,33
166,0.003451,0.007173,102.035573,25815,192.399209,48677,0.05,687,33
167,0.003987,0.006517,97.762846,24734,180.367589,45633,0.1,848,33
168,0.004401,0.007904,97.620553,24698,175.711462,44455,0.2,512,33
